Time,SDindex
03-Jan-2020,21.2797741990301
04-Jan-2020,6.23996380775637
05-Jan-2020,4.77427842638456
06-Jan-2020,-3.71886393638592
07-Jan-2020,4.08584605398712
08-Jan-2020,1.07132481399989
09-Jan-2020,0.688618947737335
10-Jan-2020,-3.77557764631876
11-Jan-2020,8.37757039425631
12-Jan-2020,4.04569766903529
13-Jan-2020,-13.4819048770623
14-Jan-2020,-1.12044220804344
15-Jan-2020,-6.46389134394032
16-Jan-2020,-5.29106478912916
17-Jan-2020,-0.285776385450502
18-Jan-2020,2.54214378069514
19-Jan-2020,-5.74524697966325
20-Jan-2020,26.0838238723114
21-Jan-2020,-2.69983141328539
22-Jan-2020,-4.67105420302459
23-Jan-2020,-2.55640360103206
24-Jan-2020,-7.55647223196769
25-Jan-2020,-2.13262157139494
26-Jan-2020,-0.41428972720807
27-Jan-2020,-16.1008577611672
28-Jan-2020,-6.61111975795075
29-Jan-2020,-6.60628440596674
30-Jan-2020,-7.90741197760986
31-Jan-2020,-15.3462814721493
01-Feb-2020,0.417855773238079
02-Feb-2020,6.85997812687411
03-Feb-2020,-2.94765820125821
04-Feb-2020,6.60688798498607
05-Feb-2020,9.28301314967314
06-Feb-2020,7.2856782501383
07-Feb-2020,11.3351651584177
08-Feb-2020,-1.0026695667727
09-Feb-2020,4.6369302908372
10-Feb-2020,-6.19806424352433
11-Feb-2020,1.95939070585739
12-Feb-2020,3.72432570449183
13-Feb-2020,10.85074817592
14-Feb-2020,0.160460898218829
15-Feb-2020,-3.7178801578875
16-Feb-2020,-9.59133967642949
17-Feb-2020,20.8878952518238
18-Feb-2020,2.4192751629813
19-Feb-2020,8.51869503547849
20-Feb-2020,1.8396948520769
21-Feb-2020,-0.392747262037165
22-Feb-2020,-5.54042930051167
23-Feb-2020,-2.94801580785768
24-Feb-2020,-3.66202723724045
25-Feb-2020,NaN
26-Feb-2020,1.48189927070043
27-Feb-2020,-1.5562071879107
28-Feb-2020,-4.74431713170408
29-Feb-2020,-7.63374309079963
01-Mar-2020,2.06415681422723
02-Mar-2020,1.54954863748304
03-Mar-2020,2.89583948211293
04-Mar-2020,10.0905853896587
05-Mar-2020,5.52310406639892
06-Mar-2020,-0.677389119457399
07-Mar-2020,-5.78547933705816
08-Mar-2020,-4.73426127020991
09-Mar-2020,-2.72163136542977
10-Mar-2020,8.57949616438108
11-Mar-2020,5.99248013333703
12-Mar-2020,15.1749870528335
13-Mar-2020,13.5270771037686
14-Mar-2020,20.8335725630695
15-Mar-2020,17.0932986558236
16-Mar-2020,40.2881306654219
17-Mar-2020,64.4694345083483
18-Mar-2020,70.8197984443986
19-Mar-2020,76.3319261095303
20-Mar-2020,79.6458424026439
21-Mar-2020,66.139642768234
22-Mar-2020,58.7210376557416
23-Mar-2020,76.232151510694
24-Mar-2020,100.044645216038
25-Mar-2020,92.5724737136958
26-Mar-2020,97.2986485927973
27-Mar-2020,97.3865815654935
28-Mar-2020,75.8189124226179
29-Mar-2020,64.5320440923876
30-Mar-2020,88.3939367600743
31-Mar-2020,105.140420600078
01-Apr-2020,112.479001757488
02-Apr-2020,110.281487094016
03-Apr-2020,105.764001975898
04-Apr-2020,78.3593701153385
05-Apr-2020,73.038624648063
06-Apr-2020,100.427781975127
07-Apr-2020,114.48990742743
08-Apr-2020,113.872903971651
09-Apr-2020,114.377308226306
10-Apr-2020,108.962229774482
11-Apr-2020,74.8312439769413
12-Apr-2020,84.4248311099349
13-Apr-2020,102.103304909014
14-Apr-2020,110.555272288434
15-Apr-2020,107.624059912852
16-Apr-2020,108.836803478031
17-Apr-2020,100.743687841639
18-Apr-2020,69.0899321628644
19-Apr-2020,63.4908933401217
20-Apr-2020,96.3173817074277
21-Apr-2020,100.71617969012
22-Apr-2020,99.5520355036977
23-Apr-2020,100.699685388092
24-Apr-2020,92.0558636921121
25-Apr-2020,56.5938561989781
26-Apr-2020,55.6928047196397
27-Apr-2020,84.279882920405
28-Apr-2020,95.1150621998862
29-Apr-2020,97.132386640101
30-Apr-2020,93.1452023440914
01-May-2020,85.8127427151268
02-May-2020,47.4920930891187
03-May-2020,48.8229018927878
04-May-2020,80.9696557727988
05-May-2020,95.1381962436449
06-May-2020,90.8023735673271
07-May-2020,86.380270131789
08-May-2020,80.9300561607521
09-May-2020,42.1024174604533
10-May-2020,34.102394891529
11-May-2020,76.4303897356894
12-May-2020,86.6428743932054
13-May-2020,82.6436402364831
14-May-2020,85.5985944405185
15-May-2020,73.5879475156555
16-May-2020,39.3833858213238
17-May-2020,38.029967518292
18-May-2020,69.6308889199795
19-May-2020,84.0802377946757
20-May-2020,77.9706222797738
21-May-2020,74.4810520460163
22-May-2020,62.974135501112
23-May-2020,27.9893374916683
