Time,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
03-Jan-2020,45.5072573591145,30.1097222474979,24.5356816525884,28.1245494965157,22.379978823591,15.9725941389176,9.95920994444915,23.0095103852464,10.6239983621975,24.8298698964336,33.1697831881639,24.4290354418979,18.6604688048124,25.6284055741151,24.6697783576275,3.5921757893118,12.9390291691868,25.8151752812389,29.872424170313,-3.60233411874096,13.55922715808,8.06214398173817,24.1538669914308,9.23053512382377,36.6695169885317,13.6607782383148,15.3528289200435,15.5894555728589,24.8407092804828,5.65334739828796,15.6111528006806,19.2298266248264,13.2795558341923,16.4306616394387,0.734294600609975,21.4571320990139,22.5769803525198,17.4572870011676,8.45924916960524,6.5953529895702,23.9587803467631,4.65942376682831,25.2456872554782,27.1677803680498,17.5500468952498,-0.554093531471429,24.1424770353523,21.1493458941753,15.2078753414934,5.3826864837833,13.1359033909079
04-Jan-2020,8.08152807329367,6.63911704543518,4.89918350924284,4.59951847335637,7.73952266220819,4.27025850180651,5.35139836490542,6.52041377890963,0.974150074412701,9.62957962161352,5.7076570790373,8.59297880213157,4.56620751554965,3.24700616585001,5.58208874328124,-2.68671769833772,-0.599590648294447,5.90606058012058,6.23406447889243,7.87888544061616,7.38520083379473,6.81033958911118,-0.775379584169449,-1.70504922499727,4.84918129469745,0.714668253751409,6.17111596775947,2.53047112736154,7.49143075455816,8.44059091545886,7.50456731841547,5.81218362092977,7.09471869080292,10.1143627145012,1.4287169401147,5.37640721534885,4.90057849814594,6.63944384636133,4.24051254664986,6.99426302016449,7.84335041888597,-0.773756143209657,6.33939115355655,8.9426371109878,9.13918555348666,8.63239638192305,8.17402291129224,8.3555485500233,7.47371582879589,1.8986599812478,7.15972075181612
05-Jan-2020,1.03878935189153,6.96844750146635,6.3751765911882,1.74928922353521,4.26637614825754,3.75157954132211,8.04719951834081,9.16971150466437,3.97139376267136,4.5421655598899,4.36242203764875,4.13939222009602,5.62851260210036,2.47733245412217,0.743988394838126,-0.133958715974953,4.28974515645116,4.28167194211157,0.287995147736435,2.51154391735517,8.24233738905405,5.24299677456851,3.59827148659835,3.39025115005705,3.61386831267626,4.08211781474474,4.22973376498829,2.47902479311435,5.70659079904072,4.29798114635877,9.04639025112877,3.14886380162074,8.19660215351533,5.85370647323048,4.92750226017631,5.78987785453509,5.24777493780473,8.41131550918903,6.00507299459486,3.6488355350322,3.31462943081597,4.71863075193695,5.20891629365724,4.3907554278869,9.46428020176296,1.11518255942664,6.14934101661955,8.61816057265331,5.18067585671306,0.874698930582194,-0.228508285489698
06-Jan-2020,-3.76672673324356,1.66442123244772,-1.3904043886498,-1.00108305618104,-1.47526468244336,0.959856863689199,-9.56521927025597,-10.4923883081924,-17.3386431162352,2.77852888698504,-1.95241863177254,-0.375976483492282,-8.38612797695906,-5.04535339295805,-6.08767127666385,-13.1992028036344,-6.02763294327014,-8.6578577156204,-0.221263480540035,-8.62854450564717,-14.1951580390522,-11.968444148022,-6.86637734653002,-7.68234269188043,3.35396464967874,-1.08235090635064,-2.70105726099744,4.16721348819015,-1.97838416260553,-5.57878023260421,-7.66984955356704,5.65235129901241,-8.87588193886968,-6.14143518556428,-10.312780772715,-8.24062369071141,-1.20259442922153,-4.25484508704519,-8.20715377015763,-12.2885651304602,-4.71361687614933,-9.23501336889013,-1.43149786955936,6.22559699163573,-14.772847751247,-6.73491564145135,-11.8840127001022,-12.2393666388352,-9.75650283391654,-7.26216596671194,-15.1506581446071
07-Jan-2020,-0.944591690033669,7.91270917788836,5.25069555464695,0.693041183112208,10.7421926884183,-2.73781882865575,-3.14916275876206,3.10225314130058,5.22016653116952,3.80834449510631,1.65064647594283,9.22759094385145,3.34995881703929,5.52816751929415,3.00789715051083,3.55078977081061,4.13618565025541,6.53407713396934,4.24979231505903,2.18156282678584,14.6625980013156,-1.81999324762114,-0.648854606625916,0.956009593266347,1.31927912379529,0.307649546951116,4.54580469038924,0.252824924974078,4.82651222182399,-5.33731830256767,3.00701250514793,-0.639776160574052,-0.436387174930803,3.28623361254949,1.90663861179519,1.44495042078495,0.57267495452128,4.15783403935943,5.39619024670905,-5.61020853578883,1.07518611192734,1.42364423324075,-0.201555814369037,5.98890497150426,5.01233456655487,0.349207597412697,21.6342743112755,-0.759517881359337,26.1253278526133,2.61150463515483,1.80048946386613
08-Jan-2020,5.28667188651187,15.9141680582127,8.5514546073692,-1.9797947524182,9.77941894233322,2.64104031155115,2.13872645834887,2.44359804213478,1.26863176048072,-0.202837511903785,-0.465025086568451,4.84188454312457,1.86362163883973,-0.0933300968005695,-3.01133109219875,-8.29911134044431,-8.73797221538889,-1.03757885609111,-1.91089474259179,2.30058080638765,12.2658011061477,-2.08534918206869,1.73144899391255,-1.02502848458519,-0.987002540311288,-14.3545592240407,0.0660701909618439,-10.4782332312178,2.7233193135166,-2.91812611764069,0.41760385275788,-2.27110723932485,-2.03702332323744,-0.79613398204473,-3.43427553318335,-1.43465550118637,-16.7883369029622,2.1021851567267,8.05818603440707,-3.69858509972519,-0.858234274962344,-1.96394659350522,-1.4901172814864,-0.667802588783389,6.46186298079532,7.03172881301697,17.1329099208665,-0.519775526317113,10.0363046563852,2.30123178754654,3.30141202372799
09-Jan-2020,-7.04386630466364,8.07212325640362,4.85207992317032,0.71813277608497,8.94718783643108,3.71671540428306,3.7147246216948,4.83243692400991,2.32618495142872,1.90352733799419,-2.0046192591046,6.92780893487433,4.07413689352854,0.750949532137432,-3.0447605209866,-2.99445024671967,-3.34915139294848,-0.111380990145445,-0.329257479978247,-16.863541895023,0.982601344332666,-4.45527843187195,-1.8673127378197,-2.31947706526013,-0.842076618090461,-6.08185137844873,3.88959821131266,-2.27085129602442,6.06931028794234,-14.173497053664,3.51623202232572,3.75650063086842,-0.166429334121563,-4.47866353724393,4.43922978359746,0.191591540048729,-1.99051697975448,5.30696848674385,3.62193324024408,-0.292140532568202,-3.74466109649495,-0.0322717994969705,-4.77491147453006,1.77143635324515,3.24316591323613,-5.82025279590376,-0.757260845508621,1.68132624289055,0.0717501610231425,0.206152050947042,0.401849032147821
10-Jan-2020,-7.30803087617387,-2.52560223399246,-1.16636105317115,1.8778014608186,4.21904290807487,-6.35050375761736,-1.4891889385737,-4.71833216098976,-2.08654586265818,-5.23737340993551,-7.69094157928596,0.717003845277993,-1.75498063627603,-6.10753396624877,-6.27895973746279,-6.18008286808049,-3.85928786202855,-11.8482672859553,-0.142458757783841,-11.4117124797438,-4.15961622544291,-6.17128355742652,-7.30212920420551,-11.9302097482471,0.244176043634422,-12.2925544944058,-1.9178130474047,-9.17999930300028,-0.34382544079706,-8.03449757836156,-3.18990803953641,1.57204571627684,-7.30151888200316,-12.4359241748584,-2.04710470746338,-8.91854488408568,0.247017540045062,-0.12220669756486,-6.12338067928437,-6.75432229026077,-10.2081651145028,-8.21503141344059,-8.68055432573745,6.44811725149903,1.99218541313391,-10.3278164543629,-8.2476614814336,1.02094990516476,-8.80309043049864,-6.10672063439593,-2.39214404868434
11-Jan-2020,32.0758439515514,2.56068015537341,1.26367641630334,18.5462137099583,3.49104331338426,1.97759310983492,-3.13506600068487,-1.49068010966882,1.48655695780447,1.58525238066206,9.86502245982886,9.06946938134405,10.1293575638949,17.0234798452473,4.91880620926023,21.4575701081209,41.6839600979166,8.7807458546632,20.4186278117086,4.26952788103836,-0.445568922971246,1.2808464051638,25.7574691346948,-0.308723874685778,28.1600403411254,43.8907933843994,3.97442021420757,5.2117167827993,4.53105275523989,0.0656753553269771,-1.14298921429041,6.62052415628646,0.344450508996652,4.42264881649743,-3.69270615076553,2.48651586720173,24.3553935700015,7.08587966286904,-2.50676345859728,-0.26150177291765,4.59158306643988,-0.571387724360494,13.2405965697929,7.89913687102755,5.9680372389913,0.885731415333303,-1.47426471460669,5.26777856448483,-2.97568246873024,19.5804909596964,0.381695212281122
12-Jan-2020,5.82320298392337,6.33525687564245,2.06836003980013,1.73111514389838,4.76162413102052,-1.09865146723529,-1.72067276120695,1.68654609939021,3.43647007383089,1.15733055400678,2.25655326913226,14.5131678546378,9.62732338424178,5.06185470759814,-0.275761558538792,3.24686951653677,3.36815694888785,-1.02920589437034,-1.21207747445387,19.8976338212279,2.98994025091671,3.02011123892913,12.7215251102486,1.93181471144108,2.50408961118208,12.9136042033138,6.61254812175428,9.07697233371454,5.58075822262188,3.60565857725827,5.3658909730259,6.49480060582558,3.53802780911853,3.67885215472647,1.54270569018129,0.964135794518381,4.2905950774113,7.8540205673668,3.20773642208364,5.2036488582372,4.3444735053153,3.7401198259645,2.54104256358647,4.10835571931582,9.6561225041462,13.1101171791617,3.16968164560432,11.2684166150857,2.78529891335097,3.10785773360974,0.954851614054214
